,User,Date,Compound,Positive,Negative,Neutral,Tweet Text,Tweets Ago
0,@FoxNews,Sun Aug 26 23:25:23 +0000 2018,0.08,0.053,0.0,0.947,"Jon Kyl on @SenJohnMcCain: ""John's entire approach to life was we want to get the most out of the time that we have… https://t.co/Kv6imy5TFe",1
1,@FoxNews,Sun Aug 26 23:16:22 +0000 2018,0.36,0.106,0.0,0.894,".@KellyAyotte on @SenJohnMcCain: ""I had the privilege of seeing him at the ranch this spring and what he said to me… https://t.co/qucQ5lEadF",2
2,@FoxNews,Sun Aug 26 23:07:55 +0000 2018,0.78,0.301,0.0,0.699,".@KellyAyotte on @SenJohnMcCain: ""I remember John for his courage, his tenacity and his wonderful sense of humor.""… https://t.co/F99ycWqUM3",3
3,@FoxNews,Sun Aug 26 22:59:42 +0000 2018,0.0,0.0,0.0,1.0,DNC votes to limit influence of superdelegates in presidential nominating process https://t.co/g72vujIP4S https://t.co/ii6U6U1tOr,4
4,@FoxNews,Sun Aug 26 22:55:49 +0000 2018,-0.54,0.0,0.179,0.821,"Earlier, @SenSchumer tweeted in response to the fatal shooting at a video game tournament in Jacksonville, Fla.… https://t.co/PCEMrwItst",5
5,@FoxNews,Sun Aug 26 22:50:25 +0000 2018,0.25,0.157,0.108,0.735,"Canadian man's body found by mom, friend in Bavarian Alps weeks after going missing, family says https://t.co/TkPU9jAhm1",6
6,@FoxNews,Sun Aug 26 22:43:00 +0000 2018,-0.64,0.0,0.342,0.658,Kaine worries progressives with reluctance to confirm 'no' vote on Kavanaugh https://t.co/xlPwUXwBJD,7
7,@FoxNews,Sun Aug 26 22:37:00 +0000 2018,-0.4,0.157,0.292,0.55,".@GiannoCaldwell: ""John McCain wasn't simply a war hero. He was my hero politically."" https://t.co/PBOonOrYo9 https://t.co/ZBDlaCaXtg",8
8,@FoxNews,Sun Aug 26 22:30:17 +0000 2018,0.3,0.115,0.0,0.885,".@Johnny_Joey: ""There's a difference between surviving and thriving, and Sen. McCain showed me that the latter is m… https://t.co/TEchajXEqg",9
9,@FoxNews,Sun Aug 26 22:22:02 +0000 2018,0.0,0.0,0.0,1.0,Capitol Hill is reacting to the passing of @SenJohnMcCain; @MikeEmanuelFox reports. https://t.co/RgHW7xkTVK https://t.co/a4qao3w0cV,10
10,@FoxNews,Sun Aug 26 22:16:00 +0000 2018,0.0,0.0,0.0,1.0,"The Coast Guard patrols the St. Johns River outside of the Jacksonville Landing in Jacksonville, Fla., following th… https://t.co/ykpKddQngl",11
11,@FoxNews,Sun Aug 26 22:07:27 +0000 2018,-0.65,0.0,0.223,0.777,"Multiple people are dead following a shooting at a Madden video game tournament in Jacksonville, Fla. @BryanLlenas… https://t.co/zC7NBp2KI6",12
12,@FoxNews,Sun Aug 26 22:02:18 +0000 2018,-0.67,0.0,0.257,0.743,"Multiple people killed in shooting at video game tournament in Jacksonville, Fla. https://t.co/xOJYsFlQ5r https://t.co/NNq8lEWYrm",13
13,@FoxNews,Sun Aug 26 22:01:10 +0000 2018,-0.54,0.0,0.189,0.811,"Moments ago, @GabbyGiffords released a statement on the fatal shooting at a video game tournament in Jacksonville,… https://t.co/AQ4Ka23Yn1",14
14,@FoxNews,Sun Aug 26 21:57:29 +0000 2018,0.0,0.0,0.0,1.0,.@GovMikeHuckabee remembers Sen. John McCain. https://t.co/jIQnO6Dsya https://t.co/lgmDwb0US8,15
15,@FoxNews,Sun Aug 26 21:50:00 +0000 2018,0.59,0.241,0.0,0.759,Hawaii shuts out South Korea to win Little League World Series title https://t.co/t53ejEfBkV,16
16,@FoxNews,Sun Aug 26 21:47:20 +0000 2018,-0.4,0.0,0.213,0.787,RT @FoxBusiness: Would the market crash if Trump were impeached?  https://t.co/7oAEofvVuT,17
17,@FoxNews,Sun Aug 26 21:45:03 +0000 2018,0.0,0.0,0.0,1.0,"Moments ago, @FLGovScott tweeted that he was on his way to Jacksonville to meet with local law enforcement official… https://t.co/dt90mzW7OU",18
18,@FoxNews,Sun Aug 26 21:40:21 +0000 2018,-0.48,0.0,0.181,0.819,"Two linked to 'extremist Muslim' New Mexico compound wanted to attack hospital, prosecutors say https://t.co/tIsK21C6bB",19
19,@FoxNews,Sun Aug 26 21:36:48 +0000 2018,0.0,0.0,0.0,1.0,"RT @EricShawnTV: Remembering #JohnMcCain: Here is my @FoxNews segment with Capt. Chuck Nash. @SenJohnMcCain was not just a legend, but his…",20
20,@FoxNews,Sun Aug 26 21:35:30 +0000 2018,-0.54,0.0,0.171,0.829,"Moments ago, @IvankaTrump tweeted in response to the fatal shooting at a video game tournament in Jacksonville, Fla… https://t.co/23KDtUs2tS",21
21,@FoxNews,Sun Aug 26 21:25:24 +0000 2018,0.0,0.0,0.0,1.0,".@Scaramucci: ""[John McCain's] life, which will be remembered forever in America... he will be somebody that we loo… https://t.co/yNnwcnhCtJ",22
22,@FoxNews,Sun Aug 26 21:19:00 +0000 2018,0.0,0.0,0.0,1.0,Pro gamers react to Jacksonville shooting amid 'Madden NFL 19' tournament https://t.co/ArsCKquLuS,23
23,@FoxNews,Sun Aug 26 21:13:37 +0000 2018,0.0,0.0,0.0,1.0,".@BretBaier: ""[McCain] always said, &amp; I talked to him in the elevator not too long ago when he was over at Fox, tha… https://t.co/MWuVys8Fw6",24
24,@FoxNews,Sun Aug 26 21:06:26 +0000 2018,0.72,0.333,0.0,0.667,".@WilliamJBennett on John McCain: ""This is a great man. A man worth imitating."" #MediaBuzz https://t.co/U1iLSevbS4 https://t.co/5IiroWE5Mm",25
25,@FoxNews,Sun Aug 26 21:01:56 +0000 2018,0.64,0.231,0.0,0.769,"McCain remembered by world leaders for 'service to freedom, democracy and rule of law' https://t.co/bdxNS5Ukvj",26
26,@FoxNews,Sun Aug 26 20:54:44 +0000 2018,-0.54,0.0,0.212,0.788,"Earlier, @TimTebow tweeted in response to the fatal shooting in Jacksonville, Fla. https://t.co/vtZe99e6js https://t.co/bN6D8ZufnI",27
27,@FoxNews,Sun Aug 26 20:46:21 +0000 2018,-0.3,0.0,0.216,0.784,Jacksonville Sheriff: Deceased suspect was a white male. https://t.co/HxOyktZrbd https://t.co/ysoSYvm13D,28
28,@FoxNews,Sun Aug 26 20:46:18 +0000 2018,-0.69,0.24,0.493,0.267,"Jacksonville Sheriff: Scene cleared, one suspect dead, no outstanding suspects. https://t.co/xOJYsFlQ5r https://t.co/3hPIw6huvO",29
29,@FoxNews,Sun Aug 26 20:45:11 +0000 2018,0.0,0.0,0.0,1.0,"Jamie Weinstein on @SenJohnMcCain: ""I think that the overwhelming majority of the American public looks to John McC… https://t.co/TtGiYDFtWh",30
30,@FoxNews,Sun Aug 26 20:41:03 +0000 2018,-0.36,0.0,0.143,0.857,'It Was a Rigged System': Caldwell &amp; Dem Strategist Debate Influence of Superdelegates After DNC Vote https://t.co/YlnEoS4MlZ,31
31,@FoxNews,Sun Aug 26 20:38:18 +0000 2018,-0.65,0.0,0.281,0.719,Army soldier among 4 dead when skydiving plane crashes at Georgia airport https://t.co/v7tRhwQmo0,32
32,@FoxNews,Sun Aug 26 20:37:56 +0000 2018,-0.54,0.0,0.2,0.8,"Jacksonville Landing shooting kills at least 4, sources say; gunfire heard at gaming tournament https://t.co/8MdFhFB4aO",33
33,@FoxNews,Sun Aug 26 20:32:25 +0000 2018,0.0,0.0,0.0,1.0,Florida law enforcement officials hold a press conference on the shooting at a Madden video game tournament in Jack… https://t.co/M6sr8duB6e,34
34,@FoxNews,Sun Aug 26 20:31:47 +0000 2018,-0.65,0.0,0.235,0.765,"Law enforcement: 15 people shot, 4 dead; 11 being treated in deadly mass shooting. https://t.co/xOJYsFlQ5r https://t.co/uhdwr3ZWM5",35
35,@FoxNews,Sun Aug 26 20:31:17 +0000 2018,0.45,0.14,0.0,0.86,"NEWS ALERT: Awaiting Jacksonville Sheriff to hold briefing on deadly mass shooting - for full live coverage, tune i… https://t.co/d0s92Lvszf",36
36,@FoxNews,Sun Aug 26 20:30:00 +0000 2018,0.0,0.0,0.0,1.0,Jimmy Carter remembers John McCain. https://t.co/bxul6PstMC,37
37,@FoxNews,Sun Aug 26 20:28:34 +0000 2018,0.0,0.0,0.0,1.0,Celebrities react to Jacksonville 'mass shooting' https://t.co/iuvgngghV2,38
38,@FoxNews,Sun Aug 26 20:25:00 +0000 2018,0.42,0.128,0.0,0.872,"Sen. John McCain: ""My accomplishments are more a testament to my country, the land of opportunity, than they are to… https://t.co/z622ubqCqk",39
39,@FoxNews,Sun Aug 26 20:15:00 +0000 2018,0.0,0.0,0.0,1.0,Wall Street record highs. https://t.co/iLJzfz1tiP,40
40,@FoxNews,Sun Aug 26 20:12:15 +0000 2018,0.0,0.0,0.0,1.0,.@WhiteHouse: @POTUS has been briefed on the Jacksonville mass shooting. https://t.co/xOJYsFlQ5r https://t.co/nsY5y2nlv7,41
